production_day,station_id,station_name,oee_pct,availability_pct,performance_pct,quality_pct,defect_rate_pct,downtime_minutes,mtbf_hours,mttr_hours,anomaly_score,is_anomaly
2026-02-17,5,FRA-PP-L01-02,34.8,38.75,99.82,89.96,0.0,65.17,0.0,0.0,-0.02387527195340755,True
2025-12-10,5,FRA-PP-L01-02,90.49,100.0,99.79,90.68,0.0,99.03,0.0,0.0,-0.029295071971927933,True
2026-02-04,5,FRA-PP-L01-02,38.43,40.84,99.43,94.64,0.0,49.47,0.0,0.0,-0.0046722645951280395,True
2026-03-16,5,FRA-PP-L01-02,47.63,50.24,99.63,95.15,0.0,128.67,0.0,0.0,-0.04528938007251304,True
2025-12-29,4,FRA-PP-L01-01,32.69,34.81,99.54,94.33,0.0,58.22,0.0,0.0,-0.0059463509312314144,True
2026-01-21,4,FRA-PP-L01-01,20.2,22.15,99.45,91.7,0.0,16.02,0.0,0.0,-0.03539736878854738,True
2026-01-21,4,FRA-PP-L01-01,20.2,22.15,99.45,91.7,0.0,9.83,0.0,0.0,-0.04325271208015202,True
2026-01-21,4,FRA-PP-L01-01,20.2,22.15,99.45,91.7,0.0,31.38,0.0,0.0,-0.03202031082667722,True
2026-01-21,4,FRA-PP-L01-01,20.2,22.15,99.45,91.7,0.0,49.58,0.0,0.0,-0.05263866904382064,True
2026-01-21,4,FRA-PP-L01-01,20.2,22.15,99.45,91.7,0.0,22.92,0.0,0.0,-0.031597788500765,True
2026-02-04,4,FRA-PP-L01-01,48.67,53.84,99.58,90.79,0.0,226.6,0.0,0.0,-0.024928086252727022,True
2026-01-23,4,FRA-PP-L01-01,91.85,100.0,99.46,92.35,0.0,98.17,0.0,0.0,-0.008806934315705228,True
2026-02-09,4,FRA-PP-L01-01,60.76,66.52,99.78,91.54,0.0,148.52,0.0,0.0,-0.004669360209076601,True
2026-01-19,4,FRA-PP-L01-01,87.96,100.0,99.6,88.31,0.0,113.8,0.0,0.0,-0.06192173488599484,True
2025-12-30,4,FRA-PP-L01-01,89.42,100.0,99.75,89.65,0.0,90.97,0.0,0.0,-0.035693465897079,True
2025-11-19,4,FRA-PP-L01-01,30.46,32.52,99.5,94.15,0.0,41.72,0.0,0.0,-0.01690868278243529,True
2025-11-19,4,FRA-PP-L01-01,30.46,32.52,99.5,94.15,0.0,16.18,0.0,0.0,-0.021787446243536568,True
2025-11-19,4,FRA-PP-L01-01,30.46,32.52,99.5,94.15,0.0,43.97,0.0,0.0,-0.018148327923045993,True
2026-01-02,4,FRA-PP-L01-01,91.32,100.0,99.7,91.6,0.0,119.6,0.0,0.0,-0.00033630284475405503,True
2025-12-02,1,SF-SPI-L01-01,26.5,29.84,99.52,89.24,0.0,102.07,0.0,0.0,-0.08200844301338239,True
2025-12-02,1,SF-SPI-L01-01,26.5,29.84,99.52,89.24,0.0,39.8,0.0,0.0,-0.037493662356846924,True
2025-12-02,1,SF-SPI-L01-01,26.5,29.84,99.52,89.24,0.0,38.78,0.0,0.0,-0.03715459144543043,True
2025-12-02,1,SF-SPI-L01-01,26.5,29.84,99.52,89.24,0.0,11.95,0.0,0.0,-0.04352360579140935,True
2026-03-04,1,SF-SPI-L01-01,42.97,46.16,99.77,93.3,0.0,111.23,0.0,0.0,-0.003284630077041495,True
2025-11-24,1,SF-SPI-L01-01,35.38,39.25,99.33,90.76,0.0,46.97,0.0,0.0,-0.003585249481282249,True
2025-11-24,1,SF-SPI-L01-01,35.38,39.25,99.33,90.76,0.0,87.52,0.0,0.0,-0.0458196462838697,True
2026-01-27,1,SF-SPI-L01-01,91.08,100.0,99.49,91.55,0.0,145.27,0.0,0.0,-0.05768577773986072,True
2026-03-13,1,SF-SPI-L01-01,22.36,24.43,99.59,91.88,0.0,81.95,0.0,0.0,-0.04150554249681393,True
2026-03-13,1,SF-SPI-L01-01,22.36,24.43,99.59,91.88,0.0,22.02,0.0,0.0,-0.005365952787656614,True
2026-03-13,1,SF-SPI-L01-01,22.36,24.43,99.59,91.88,0.0,40.42,0.0,0.0,-0.012206081652749279,True
2026-03-13,1,SF-SPI-L01-01,22.36,24.43,99.59,91.88,0.0,50.22,0.0,0.0,-0.019623050426509803,True
2026-04-21,1,SF-SPI-L01-01,29.49,32.9,99.7,89.91,0.0,53.68,0.0,0.0,-0.006953188198366433,True
2026-05-11,3,HDR-MLD-L01-02,44.71,49.24,99.68,91.09,0.0,139.5,0.0,0.0,-0.006365832285914141,True
2026-03-12,3,HDR-MLD-L01-02,24.45,26.55,99.75,92.33,0.0,68.02,0.0,0.0,-0.038834181688604086,True
2026-03-12,3,HDR-MLD-L01-02,24.45,26.55,99.75,92.33,0.0,6.42,0.0,0.0,-0.028258433140635475,True
2026-03-12,3,HDR-MLD-L01-02,24.45,26.55,99.75,92.33,0.0,54.68,0.0,0.0,-0.017428413427943212,True
2026-03-03,3,HDR-MLD-L01-02,58.23,62.92,99.52,92.99,0.0,150.4,0.0,0.0,-0.009047336447407295,True
2025-12-03,3,HDR-MLD-L01-02,50.71,57.05,99.84,89.02,0.0,93.1,0.0,0.0,-0.01931826763894129,True
